,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,"((0, 'd'), 5.616671152308576)","((1, 'r'), 15.843014844466637)","((2, 'o'), 2.9193482281197864)","((3, 'f'), 17.47095259841182)","((4, 'm'), 31.90986658667618)","((5, 'o'), 4.263909785192085)","((6, 'k'), 28.458461231334347)","((7, '<END>'), 2.4174407566935434)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
1,0,"((0, 's'), 5.635678564711481)","((1, 'n'), 36.61090342358195)","((2, 'o'), 4.932439676139591)","((3, 'g'), 16.22822635701954)","((4, 'm'), 12.24576976777791)","((5, 'o'), 6.288047907713696)","((6, 't'), 7.333690465910779)","((7, '<END>'), 2.1730019430854046)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
2,0,"((0, 'p'), 6.938715787086674)","((1, 'r'), 1.8205447795251215)","((2, 'a'), 2.1906805574340003)","((3, 'f'), 16.74663944312264)","((4, 'l'), 8.36434250033853)","((5, 'a'), 5.406414471169513)","((6, 'k'), 35.009497141318)","((7, '<END>'), 1.886467522690116)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
3,0,"((0, 's'), 5.007718351779295)","((1, 'n'), 72.80441793509677)","((2, 'a'), 2.688146307915028)","((3, 'd'), 7.8305186473478035)","((4, 'm'), 51.45809341692148)","((5, 'a'), 3.9615749302874472)","((6, 'k'), 16.24242498462923)","((7, '<END>'), 1.7386458504694888)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
4,0,"((0, 'f'), 11.79964319074961)","((1, 'l'), 13.711759855475451)","((2, 'a'), 3.3872395521647354)","((3, 'm'), 7.562242861749841)","((4, 'r'), 7.810113288568917)","((5, 'a'), 4.1756084811096)","((6, 'd'), 7.74084363328042)","((7, '<END>'), 2.018709362477475)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
5,0,"((0, 's'), 6.331671689218474)","((1, 'm'), 20.39635931664318)","((2, 'a'), 2.9401217486223308)","((3, 't'), 7.823426502699484)","((4, 'n'), 21.333892336615538)","((5, 'o'), 1.9418514850945252)","((6, 'd'), 15.416078584993848)","((7, '<END>'), 1.9061819280665186)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
6,0,"((0, 's'), 5.03628036478371)","((1, 'm'), 26.41905444646941)","((2, 'o'), 3.6153221036292313)","((3, 'l'), 4.451421514209267)","((4, 'r'), 19.142350424756433)","((5, 'o'), 4.331930993955792)","((6, 'g'), 5.059105926433801)","((7, '<END>'), 3.6157914429393574)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
7,0,"((0, 't'), 6.221479986913737)","((1, 'r'), 2.8721174638875215)","((2, 'e'), 2.400547495776747)","((3, 'l'), 8.468819903395506)","((4, 'n'), 30.56696290710303)","((5, 'a'), 4.607249798245919)","((6, 't'), 2.6237151508587857)","((7, '<END>'), 2.333707622661315)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
8,0,"((0, 'b'), 6.315652232089647)","((1, 'l'), 8.093859589859749)","((2, 'a'), 3.0972334620449278)","((3, 's'), 7.2016674128681855)","((4, 'n'), 21.52393271346941)","((5, 'o'), 5.478376675787434)","((6, 'l'), 7.72989720229599)","((7, '<END>'), 4.588092803894439)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
9,0,"((0, 'd'), 11.05206633068417)","((1, 'r'), 10.761150049960305)","((2, 'a'), 3.7165439482056)","((3, 'n'), 7.581673588739047)","((4, 'l'), 9.360588380580936)","((5, 'a'), 6.868379200826451)","((6, 't'), 4.521471541211813)","((7, '<END>'), 2.0355962260949667)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
