,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,"((0, 's'), 6.459674916825138)","((1, 't'), 3.1354783858672803)","((2, 'i'), 4.0755734022005985)","((3, 'm'), 8.58488620613779)","((4, 't'), 6.079864588737447)","((5, 'i'), 5.1599386628566855)","((6, 'm'), 17.089874355331897)","((7, '<END>'), 3.3960205884945327)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
1,0,"((0, 'p'), 6.145958248031608)","((1, 'r'), 4.436653851445274)","((2, 'e'), 3.1296500315587323)","((3, 'm'), 6.101367068751761)","((4, 'r'), 23.066239496672917)","((5, 'e'), 3.058890576122425)","((6, 'm'), 10.113129862696006)","((7, '<END>'), 4.979251668465135)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
2,0,"((0, 't'), 6.014753054904297)","((1, 'r'), 3.391690144957686)","((2, 'o'), 2.111416491483917)","((3, 's'), 8.7122591904915)","((4, 'r'), 18.79673824461381)","((5, 'o'), 6.600946655926491)","((6, 's'), 9.332192903970649)","((7, '<END>'), 3.006176520294471)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
3,0,"((0, 't'), 8.925559041981156)","((1, 'r'), 6.731346038969954)","((2, 'e'), 2.226542367509515)","((3, 'l'), 14.879824508339333)","((4, 'r'), 17.774519362959225)","((5, 'e'), 2.6268013281583698)","((6, 'l'), 11.505603968785536)","((7, '<END>'), 3.1121085137844418)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
4,0,"((0, 'f'), 7.680675284123796)","((1, 'l'), 8.847796903983344)","((2, 'o'), 3.814103287812379)","((3, 'n'), 6.866406745275048)","((4, 'l'), 16.028301505319234)","((5, 'o'), 9.770525607671564)","((6, 'n'), 10.65203968999754)","((7, '<END>'), 2.37215816218689)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
5,0,"((0, 't'), 8.96610948798392)","((1, 'r'), 4.483051039664051)","((2, 'a'), 4.0333913906264875)","((3, 'm'), 8.365563146402941)","((4, 'r'), 10.867859083187327)","((5, 'a'), 4.323437406403542)","((6, 'm'), 8.547531652785993)","((7, '<END>'), 6.2428622055859835)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
6,0,"((0, 'g'), 11.992711198332183)","((1, 'r'), 9.423660687856273)","((2, 'a'), 2.8412896291352276)","((3, 'n'), 2.9215632679491694)","((4, 'r'), 8.129497502129773)","((5, 'a'), 3.9458022788024127)","((6, 'n'), 9.374940896038401)","((7, '<END>'), 3.6524213615046914)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
7,0,"((0, 'b'), 13.339333062859247)","((1, 'l'), 7.824438903370031)","((2, 'a'), 3.5944144559256834)","((3, 't'), 6.4023593267567005)","((4, 'l'), 38.34126710147378)","((5, 'a'), 3.9690667094590557)","((6, 't'), 2.829721248982604)","((7, '<END>'), 5.217336255069454)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
8,0,"((0, 't'), 12.130245326851867)","((1, 'r'), 7.560739586058471)","((2, 'a'), 2.9870110382297117)","((3, 'f'), 15.568293019452202)","((4, 'r'), 12.78248087636632)","((5, 'a'), 3.1626820974741356)","((6, 'f'), 27.122833258827747)","((7, '<END>'), 4.50633147821171)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
9,0,"((0, 'p'), 3.6912312066035033)","((1, 'l'), 7.1883287728847645)","((2, 'a'), 3.1168586510985787)","((3, 'f'), 10.937113972137666)","((4, 'l'), 10.692951067264973)","((5, 'a'), 6.258634974941828)","((6, 'f'), 31.435032252042305)","((7, '<END>'), 2.600417540942734)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
10,0,"((0, 'k'), 27.064742238061537)","((1, 'l'), 9.836303206969468)","((2, 'o'), 1.8657495765577563)","((3, 'p'), 12.889417127529882)","((4, 'l'), 10.567348115007901)","((5, 'o'), 6.8643917486975905)","((6, 'p'), 18.149634034084904)","((7, '<END>'), 3.073586812221048)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
11,0,"((0, 'f'), 9.82811065164585)","((1, 'l'), 7.349877055438098)","((2, 'a'), 3.9217972162721484)","((3, 'k'), 21.372469264453272)","((4, 'l'), 39.48493158854869)","((5, 'a'), 4.823978968964334)","((6, 'k'), 13.256163917192582)","((7, '<END>'), 2.2111767817889736)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
12,0,"((0, 'f'), 10.013258772582647)","((1, 'r'), 6.421375250466564)","((2, 'o'), 3.515864256351906)","((3, 's'), 7.384062032153549)","((4, 'r'), 11.697703326985259)","((5, 'o'), 2.548328808639745)","((6, 's'), 3.9563703204691087)","((7, '<END>'), 3.165745073592211)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
13,0,"((0, 'd'), 12.670469047546339)","((1, 'r'), 13.036269617617183)","((2, 'a'), 2.7000158964590524)","((3, 'k'), 51.406993229477024)","((4, 'r'), 11.65934301939652)","((5, 'a'), 4.810637860450549)","((6, 'k'), 21.488477045039904)","((7, '<END>'), 3.308623970110751)","((8, '<MASK>'), 1.0)","((9, '<MASK>'), 1.0)","((10, '<MASK>'), 1.0)","((11, '<MASK>'), 1.0)","((12, '<MASK>'), 1.0)","((13, '<MASK>'), 1.0)","((14, '<MASK>'), 1.0)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
