,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,"((0, 'r'), 8.785349308535995)","((1, 'e'), 4.64558757990511)","((2, 'v'), 6.573342332415707)","((3, 'e'), 7.280567279457599)","((4, 'n'), 6.164460171114544)","((5, 'u'), 5.244377828139847)","((6, 'e'), 4.051664936872798)","((7, 's'), 4.01935157472377)","((8, '<END>'), 3.0599042910165313)","((9, '<MASK>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
1,1,"((0, 'p'), 8.785349308535995)","((1, 'u'), 4.64558757990511)","((2, 'r'), 6.573342332415707)","((3, 's'), 7.280567279457599)","((4, 'u'), 6.164460171114544)","((5, 'e'), 5.244377828139847)","((6, '<END>'), 4.051664936872798)","((7, '<MASK>'), 4.01935157472377)","((8, '<MASK>'), 3.0599042910165313)","((9, '<MASK>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
2,2,"((0, 't'), 8.785349308535995)","((1, 'r'), 4.64558757990511)","((2, 'a'), 6.573342332415707)","((3, 'c'), 7.280567279457599)","((4, 'k'), 6.164460171114544)","((5, 'i'), 5.244377828139847)","((6, 'n'), 4.051664936872798)","((7, 'g'), 4.01935157472377)","((8, '<END>'), 3.0599042910165313)","((9, '<MASK>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
3,3,"((0, 'c'), 8.785349308535995)","((1, 'o'), 4.64558757990511)","((2, 'n'), 6.573342332415707)","((3, 'c'), 7.280567279457599)","((4, 'e'), 6.164460171114544)","((5, 'n'), 5.244377828139847)","((6, 't'), 4.051664936872798)","((7, 'r'), 4.01935157472377)","((8, 'a'), 3.0599042910165313)","((9, 't'), 3.411367584555105)","((10, 'i'), 3.5704332519713797)","((11, 'o'), 3.405260773761865)","((12, 'n'), 2.8061966433335375)","((13, '<END>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
4,4,"((0, 's'), 8.785349308535995)","((1, 't'), 4.64558757990511)","((2, 'e'), 6.573342332415707)","((3, 'p'), 7.280567279457599)","((4, 'h'), 6.164460171114544)","((5, 'e'), 5.244377828139847)","((6, 'n'), 4.051664936872798)","((7, '<END>'), 4.01935157472377)","((8, '<MASK>'), 3.0599042910165313)","((9, '<MASK>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
5,5,"((0, 's'), 8.785349308535995)","((1, 't'), 4.64558757990511)","((2, 'r'), 6.573342332415707)","((3, 'e'), 7.280567279457599)","((4, 'a'), 6.164460171114544)","((5, 'm'), 5.244377828139847)","((6, 's'), 4.051664936872798)","((7, '<END>'), 4.01935157472377)","((8, '<MASK>'), 3.0599042910165313)","((9, '<MASK>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
6,6,"((0, 'i'), 8.785349308535995)","((1, 'n'), 4.64558757990511)","((2, 'f'), 6.573342332415707)","((3, 'o'), 7.280567279457599)","((4, '<END>'), 6.164460171114544)","((5, '<MASK>'), 5.244377828139847)","((6, '<MASK>'), 4.051664936872798)","((7, '<MASK>'), 4.01935157472377)","((8, '<MASK>'), 3.0599042910165313)","((9, '<MASK>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
7,7,"((0, 'p'), 8.785349308535995)","((1, 'e'), 4.64558757990511)","((2, 't'), 6.573342332415707)","((3, 'i'), 7.280567279457599)","((4, 't'), 6.164460171114544)","((5, 'e'), 5.244377828139847)","((6, '<END>'), 4.051664936872798)","((7, '<MASK>'), 4.01935157472377)","((8, '<MASK>'), 3.0599042910165313)","((9, '<MASK>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
8,8,"((0, 'r'), 8.785349308535995)","((1, 'e'), 4.64558757990511)","((2, 'u'), 6.573342332415707)","((3, 'n'), 7.280567279457599)","((4, 'i'), 6.164460171114544)","((5, 'o'), 5.244377828139847)","((6, 'n'), 4.051664936872798)","((7, '<END>'), 4.01935157472377)","((8, '<MASK>'), 3.0599042910165313)","((9, '<MASK>'), 3.411367584555105)","((10, '<MASK>'), 3.5704332519713797)","((11, '<MASK>'), 3.405260773761865)","((12, '<MASK>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
9,9,"((0, 'a'), 8.785349308535995)","((1, 'c'), 4.64558757990511)","((2, 'k'), 6.573342332415707)","((3, 'n'), 7.280567279457599)","((4, 'o'), 6.164460171114544)","((5, 'w'), 5.244377828139847)","((6, 'l'), 4.051664936872798)","((7, 'e'), 4.01935157472377)","((8, 'd'), 3.0599042910165313)","((9, 'g'), 3.411367584555105)","((10, 'e'), 3.5704332519713797)","((11, 'd'), 3.405260773761865)","((12, '<END>'), 2.8061966433335375)","((13, '<MASK>'), 1.2343059900397857)","((14, '<MASK>'), 2.6743400068290217)","((15, '<MASK>'), 1.0)","((16, '<MASK>'), 1.0)","((17, '<MASK>'), 1.0)","((18, '<MASK>'), 1.0)","((19, '<MASK>'), 1.0)"
